DBA,DCBA,15004170761986020760
ACB,ACB,235702400725072
CBD,CBD,300223119132192
BAC,DBAC,36814384323921539857
DCA,DCA,427374367144227
BCD,BCD,475484860049476
ADB,ADB,525505379455183
ABD,ABD,580665889059641
DBC,DBC,636786441665370
BAD,BAD,684196919770129
CAD,CAD,728877372674462
CAB,CAB,780007871979446
BDA,BDA,825588330984541
CDB,CDB,877298854689173
DCB,DCB,925759334294189
DAB,DAB,973019857999405
BCA,BCA,102620103774104496
ADC,ADC,107907108992109513
CDA,CDA,114126115238116129
CBA,CBA,119235120172121068
BDC,BDC,125688126505127554
ABC,DACB,129448130463130470131323
ACD,ACD,135188136194137358
DAC,DAC,140172141297142114

