DBA,BAD,2122921602468400
CDB,CDB,248512510625343
ADB,ADB,284192882529256
BAD,BAD,318633243032851
DBC,DBC,364853657937084
BCA,BCA,397964038640853
CBD,CBD,452034540945957
CAD,CAD,490134917449687
BCD,BCD,534315412754611
DCB,DCB,574455773458050
ABD,ABD,611086166362074
CAB,CAB,648516512365573
ABC,ABC,686336928469864
DCA,DCA,728857317073651
CDA,CDA,758907749677958
ADC,ADC,812728223382696
BDA,BDA,859348614886986
DAC,DAC,901749109791641
ACB,ACB,946079534995971
DAB,DAB,987319951999979
CBA,CBA,103668104091104638
BAC,BDAC,107401107491108056108388
BDC,BDC,112021112197112999
ACD,ACD,115467116318117217

