waveCount,TotalWidth,tiltAve,deepest,class
1.0,355.514084,-0.08158325736575689,0.9575221238938053,slash
1.0,360.987542,-0.19702098974687354,0.95929203539823,slash
1.0,537.819083,-1.4919666184071143,0.950530035335689,slash
1.0,541.395792,1.5098528215492584,0.9628975265017667,slash
1.0,538.335875,-1.5089332013929158,0.9628975265017667,slash
1.0,360.074417,-0.08628614951600033,0.9647266313932981,slash
1.0,355.479833,-0.07346149699856541,0.9770318021201413,slash
1.0,534.036834,-1.577391239874017,0.9876325088339223,slash
1.0,539.172167,-1.47561993658875,0.9663716814159292,slash
1.0,360.094542,0.06936927089402367,0.9663716814159292,slash
1.0,1077.924167,0.7545494409023811,0.9452296819787986,up
1.0,1080.428542,0.7373196564586159,0.9450354609929078,up
2.0,1080.260834,0.7504132312452156,0.9469964664310954,up
2.0,1075.049417,2.3813618991325485,0.9611992945326279,up
2.0,897.872376,2.3067595115982527,0.9471830985915493,up
1.0,899.909834,2.225171464109092,0.9435626102292769,up
2.0,901.770959,2.120133668287435,0.9434628975265018,up
2.0,1079.6485,0.7414630458122277,0.9434628975265018,up
2.0,1073.545209,0.7368238856565409,0.9470899470899471,up
2.0,1078.382917,2.2815116395858777,0.8987566607460036,up
1.0,899.4875,0.4973890830205001,0.9663716814159292,down
1.0,898.333958,-0.4861174482484143,0.9202127659574468,down
1.0,896.936417,0.505515330021949,0.9593639575971732,down
1.0,1071.629417,0.013044619076413966,0.9595070422535211,down
1.0,898.654959,-0.48960081834419933,0.950530035335689,down
1.0,898.192667,0.5064079041654141,0.968141592920354,down
1.0,896.919876,0.5061401699006816,0.9611307420494699,down
1.0,1076.749042,0.005939532630985234,0.9578207381370826,down
1.0,1075.397875,-0.004584920381687674,0.9664310954063604,down
1.0,894.981,2.3015654473482545,0.950530035335689,down
1.0,1795.857293,0.002336740364922041,0.48148148148148145,roll
3.0,1615.571459,-2.6542261712805835,0.9454225352112676,roll
3.0,1793.595042,2.793183695195811,0.9666080843585237,roll
1.5,1795.727167,2.7499128425522974,0.9682539682539683,roll
3.0,1796.843918,-2.2035504999468096,0.7797202797202797,roll
2.5,1976.16196,2.7263529691872868,0.9647887323943662,roll
3.0,1975.513376,2.7357466936818158,0.9593639575971732,roll
3.0,1796.431126,2.7448784497819223,0.961335676625659,roll
2.0,1256.118918,1.3715061705478622,0.5140350877192983,roll
3.0,1974.900626,-0.07309149569541262,0.6994727592267135,roll
1.0,1079.202626,-2.466071560540588,0.9823321554770318,hide
1.0,1077.733375,-0.7633514166619276,0.9717314487632509,hide
1.0,1077.080584,-0.7795533014916719,0.9893617021276596,hide
1.0,1260.334209,-0.25455597974225075,0.9769911504424779,hide
1.0,1255.326209,-0.24993049700924364,0.9840989399293286,hide
1.0,1436.030335,0.4180051257281474,0.9858407079646018,hide
1.0,1438.311667,-5.154180605857483E-4,0.9840142095914742,hide
1.0,1255.107793,-0.25828442156387155,0.9858407079646018,hide
1.0,1616.183501,-0.15595592229972222,0.9858407079646018,hide
1.0,1615.041918,0.5178250032597471,0.9893805309734514,hide

