time,step,Galaxy-S6edge-dyamashita
1183,389,142.0
1186,390,138.0
1189,391,135.0
1192,392,130.0
1195,393,127.0
1198,394,125.0
1201,395,120.0
1204,396,119.0
1207,397,115.0
1210,398,112.0
1213,399,109.0
1216,400,106.0
1219,401,104.0
1222,402,102.0
1225,403,97.0
1228,404,96.0
1231,405,94.0
1234,406,91.0
1237,407,88.0
1240,408,85.0
1243,409,82.0
1246,410,81.0
1249,411,78.0
1252,412,76.0
1255,413,74.0
1258,414,73.0
1261,415,71.0
1264,416,69.0
1267,417,67.0
1270,418,66.0
1273,419,63.0
1276,420,61.0
1279,421,60.0
1282,422,58.0
1285,423,56.0
1288,424,55.0
1291,425,54.0
1294,426,54.0
1297,427,53.0
1300,428,51.0
1303,429,49.0
1306,430,49.0
1309,431,48.0
1312,432,46.0
1315,433,45.0
1318,434,43.0
1321,435,44.0
1324,436,42.0
1327,437,43.0
1330,438,42.0
1333,439,41.0
1336,440,40.0
1339,441,39.0
1343,442,39.0
1346,443,38.0
1349,444,38.0
1352,445,38.0
1355,446,37.0
1358,447,37.0
1361,448,37.0
1364,449,37.0
1367,450,36.0
1370,451,36.0
1373,452,36.0
1376,453,36.0
1379,454,36.0
1382,455,36.0
1385,456,36.0
1388,457,36.0
1391,458,36.0
1394,459,36.0
1397,460,36.0
1400,461,36.0
1403,462,36.0
1406,463,36.0
1409,464,36.0
1412,465,36.0
1415,466,36.0
1418,467,36.0
1421,468,36.0
1424,469,36.0
1427,470,36.0
1430,471,36.0
1433,472,36.0
1436,473,36.0
1439,474,36.0
1442,475,36.0
1445,476,36.0
1448,477,36.0
1451,478,36.0
1454,479,36.0
1457,480,36.0
1460,481,36.0
1463,482,36.0
1466,483,36.0
1469,484,36.0
1472,485,36.0
1475,486,36.0
1478,487,36.0
1481,488,36.0
1484,489,36.0
1487,490,36.0
1490,491,36.0
1493,492,36.0
1496,493,36.0
1499,494,36.0
1502,495,36.0
1505,496,36.0
1508,497,36.0
1511,498,36.0
1514,499,36.0
1517,500,36.0
1520,501,34.0
1523,502,0.0
1526,503,0.0
1529,504,0.0
1532,505,0.0
1535,506,0.0
1538,507,0.0
1541,508,0.0
1544,509,0.0
1547,510,0.0
1550,511,0.0
1553,512,0.0
