CDAB,CDAB,29614299903065031093
ACDB,ACDB,33968344273501335597
BCDA,BCDA,38307389543963840100
DCAB,DCAB,42774434584371044232
ADCB,ADCB,47118481174887349343
ADBC,ADBC,54438551575586556590
BADC,BADC,62179633756421664833
BCAD,DBCA,67632678986894269593
CDBA,CDBA,74658750057622276709
DBAC,DBAC,79923817428242782890
ABDC,ABDC,86234871578808989412
CBDA,CBDA,92129926809352694659
BDAC,BDAC,97386979719916999636
BACD,BACD,102202102979103844104495
DABC,DABC,106625107493108120108961
BDCA,BCDA,111731112172112360113812
CBAD,CBAD,116382117343118025118703
DACB,DACB,121019121835122505123163
CADB,CADB,125816126445127362128000
DBCA,DBCA,130485131501132447133164
CABD,CABD,135857136480137412137951
DCBA,DCBA,140756141772142525143317
ABCD,ABCD,146014146939147794148317
ACBD,ACBD,151120151705152570153237

