startTime,nowTime,nanoTime,lx
1468475360693,1468476325562,44661000785249,428.0
1468475360693,1468476325741,44661179766166,426.0
1468475360693,1468476325921,44661359661583,428.0
1468475360693,1468476326101,44661539772791,428.0
1468475360693,1468476326280,44661718991249,428.0
1468475360693,1468476326461,44661899700125,428.0
1468475360693,1468476326644,44662082760333,428.0
1468475360693,1468476326825,44662263643625,428.0
1468475360693,1468476326999,44662437928083,428.0
1468475360693,1468476327184,44662622997875,428.0
1468475360693,1468476327362,44662800562417,428.0
1468475360693,1468476327541,44662979735917,428.0
1468475360693,1468476327722,44663160895959,428.0
1468475360693,1468476327899,44663338376792,428.0
1468475360693,1468476328079,44663518183292,428.0
1468475360693,1468476328256,44663694808584,428.0
1468475360693,1468476328438,44663877382251,428.0
1468475360693,1468476328618,44664057157751,428.0
1468475360693,1468476328801,44664239825834,428.0
1468475360693,1468476328978,44664416563501,427.0
1468475360693,1468476329158,44664596761834,428.0
1468475360693,1468476329338,44664777173293,428.0
1468475360693,1468476329516,44664955128334,428.0
1468475360693,1468476329696,44665135235376,428.0
1468475360693,1468476329877,44665315499668,428.0
1468475360693,1468476330052,44665490770585,428.0
1468475360693,1468476330235,44665673500460,428.0
1468475360693,1468476330414,44665853307085,429.0
1468475360693,1468476330590,44666028940627,428.0
1468475360693,1468476330777,44666216438752,428.0
1468475360693,1468476330951,44666389523002,428.0
1468475360693,1468476331131,44666569917460,428.0
1468475360693,1468476331308,44666747287127,428.0
1468475360693,1468476331490,44666929355877,428.0
1468475360693,1468476331670,44667109275835,428.0
1468475360693,1468476331849,44667288412752,428.0
1468475360693,1468476332027,44667465857752,428.0
1468475360693,1468476332208,44667646750377,428.0
1468475360693,1468476332388,44667826784794,428.0
1468475360693,1468476332565,44668003905044,428.0
1468475360693,1468476332748,44668186560461,428.0
1468475360693,1468476332927,44668366104044,428.0
1468475360693,1468476333105,44668543488544,427.0
1468475360693,1468476333284,44668723167336,428.0
1468475360693,1468476333463,44668902166545,427.0
1468475360693,1468476333642,44669081043545,428.0
1468475360693,1468476333822,44669260585836,427.0
1468475360693,1468476334002,44669441127878,428.0
1468475360693,1468476334181,44669619453087,427.0
1468475360693,1468476334360,44669799218628,428.0
1468475360693,1468476334540,44669978908920,428.0
1468475360693,1468476334721,44670159588212,428.0
1468475360693,1468476334899,44670337626087,428.0
1468475360693,1468476335078,44670517168795,428.0
1468475360693,1468476335258,44670696985920,428.0
1468475360693,1468476335438,44670876641421,428.0
1468475360693,1468476335617,44671056365087,428.0
1468475360693,1468476335798,44671237116546,428.0
1468475360693,1468476335977,44671416155379,428.0
1468475360693,1468476336158,44671596863754,428.0
1468475360693,1468476336343,44671781925088,428.0
1468475360693,1468476336520,44671959328963,428.0
1468475360693,1468476336696,44672134787213,427.0
1468475360693,1468476336876,44672314568671,428.0
1468475360693,1468476337056,44672495329046,428.0
1468475360693,1468476337238,44672676706880,428.0
1468475360693,1468476337418,44672856782880,427.0
1468475360693,1468476337597,44673035475005,428.0
1468475360693,1468476337777,44673215599672,428.0
1468475360693,1468476337957,44673395784047,427.0
1468475360693,1468476338136,44673574774130,415.0
1468475360693,1468476338316,44673754928589,427.0
1468475360693,1468476338495,44673933920422,428.0
1468475360693,1468476338671,44674109858297,427.0
1468475360693,1468476338853,44674292127130,428.0
1468475360693,1468476339030,44674469217964,428.0
1468475360693,1468476339213,44674652086756,428.0
1468475360693,1468476339393,44674831473547,428.0
1468475360693,1468476339569,44675007862714,428.0
1468475360693,1468476339752,44675190933673,428.0
1468475360693,1468476339932,44675371387423,428.0
1468475360693,1468476340111,44675549780589,428.0
1468475360693,1468476340287,44675726242506,427.0
1468475360693,1468476340468,44675906965423,428.0
1468475360693,1468476340649,44676087519048,428.0
1468475360693,1468476340828,44676267074215,428.0
1468475360693,1468476341007,44676446335007,428.0
1468475360693,1468476341187,44676625583590,428.0
1468475360693,1468476341364,44676803096632,428.0
1468475360693,1468476341546,44676985411757,428.0
1468475360693,1468476341726,44677164802674,428.0
1468475360693,1468476341906,44677345312465,428.0
1468475360693,1468476342084,44677523055757,428.0
1468475360693,1468476342266,44677704515632,427.0
1468475360693,1468476342446,44677885106341,427.0
1468475360693,1468476342622,44678061157424,427.0
1468475360693,1468476342805,44678244256841,428.0
1468475360693,1468476342985,44678423703757,428.0
1468475360693,1468476343163,44678602277716,428.0
1468475360693,1468476343344,44678782822299,428.0
1468475360693,1468476343523,44678962164258,427.0
1468475360693,1468476343703,44679141550508,428.0
1468475360693,1468476343883,44679321669925,427.0
1468475360693,1468476344060,44679498952341,428.0
1468475360693,1468476344242,44679680897591,428.0
1468475360693,1468476344421,44679860348133,428.0
1468475360693,1468476344598,44680036833633,427.0
1468475360693,1468476344780,44680218532675,426.0
1468475360693,1468476344959,44680398174175,428.0
1468475360693,1468476345139,44680577465217,425.0
1468475360693,1468476345319,44680757730134,426.0
1468475360693,1468476345498,44680936630759,426.0
1468475360693,1468476345678,44681116526509,428.0
1468475360693,1468476345858,44681296789592,426.0
1468475360693,1468476346037,44681476436301,428.0
1468475360693,1468476346215,44681654417134,428.0
1468475360693,1468476346395,44681834323342,426.0
1468475360693,1468476346575,44682014159426,426.0
1468475360693,1468476346756,44682194730926,425.0
1468475360693,1468476346935,44682374315759,424.0
1468475360693,1468476347111,44682550381051,424.0
1468475360693,1468476347294,44682732627218,424.0
1468475360693,1468476347473,44682912382260,426.0
1468475360693,1468476347650,44683088710885,426.0
1468475360693,1468476347832,44683270497343,427.0
1468475360693,1468476348013,44683451661552,427.0
1468475360693,1468476348191,44683629765135,428.0
1468475360693,1468476348372,44683810598135,428.0
1468475360693,1468476348550,44683988667052,428.0
1468475360693,1468476348730,44684168895885,428.0
1468475360693,1468476348910,44684349435552,428.0
1468475360693,1468476349087,44684526362260,426.0
1468475360693,1468476349268,44684707034635,427.0
1468475360693,1468476349448,44684886614886,428.0
1468475360693,1468476349626,44685064711802,428.0
1468475360693,1468476349806,44685245276886,426.0
1468475360693,1468476349988,44685427092427,426.0
1468475360693,1468476350164,44685602892553,426.0
1468475360693,1468476350346,44685784954511,426.0
1468475360693,1468476350526,44685965125344,426.0
1468475360693,1468476350706,44686144775928,426.0
1468475360693,1468476350888,44686327407845,428.0
1468475360693,1468476351066,44686505375220,426.0
1468475360693,1468476351244,44686683395845,428.0
1468475360693,1468476351420,44686858954136,426.0
1468475360693,1468476351605,44687044026803,428.0
1468475360693,1468476351783,44687222034928,426.0
1468475360693,1468476351959,44687397717095,426.0
slash
1468475360693,1468476352139,44687577873428,426.0
1468475360693,1468476352318,44687756813845,426.0
1468475360693,1468476352497,44687936262512,426.0
1468475360693,1468476352678,44688116826679,426.0
1468475360693,1468476352862,44688301021179,428.0
1468475360693,1468476353042,44688480743471,426.0
1468475360693,1468476353219,44688658317179,428.0
1468475360693,1468476353399,44688838417387,426.0
1468475360693,1468476353577,44689015798804,76.0
1468475360693,1468476353761,44689200001471,426.0
1468475360693,1468476353937,44689376016013,426.0
1468475360693,1468476354118,44689556553888,426.0
1468475360693,1468476354298,44689736462388,428.0
1468475360693,1468476354475,44689913463305,428.0
1468475360693,1468476354655,44690094110221,426.0
1468475360693,1468476354836,44690275196721,428.0
1468475360693,1468476355017,44690455528055,428.0
1468475360693,1468476355191,44690629871513,428.0
slash
1468475360693,1468476355371,44690809539930,427.0
1468475360693,1468476355550,44690988898847,426.0
1468475360693,1468476355730,44691168654555,428.0
1468475360693,1468476355910,44691348657097,426.0
1468475360693,1468476356093,44691531594764,428.0
1468475360693,1468476356272,44691711414555,427.0
1468475360693,1468476356452,44691890866931,428.0
1468475360693,1468476356630,44692069177181,366.0
1468475360693,1468476356812,44692250816472,422.0
1468475360693,1468476356992,44692430661931,426.0
1468475360693,1468476357168,44692606827264,426.0
1468475360693,1468476357349,44692787994681,426.0
1468475360693,1468476357530,44692969233556,428.0
1468475360693,1468476357706,44693144541431,427.0
1468475360693,1468476357889,44693328169015,428.0
1468475360693,1468476358069,44693507794181,426.0
slash
1468475360693,1468476358248,44693686543348,428.0
1468475360693,1468476358423,44693862312848,426.0
1468475360693,1468476358603,44694042353348,426.0
