131318,132019,701,0.802593035,39.74737549,301,201.3473816,601,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0.333333333,131984,132586,602,0.981086668,4.631576538,301,244.8842163,602,0.2,0,0,0.2,0,0,0,0.2,0,0.4,downRight
136330,136931,601,0.752371886,43.957901,300,177.5157928,601,0,0,0.25,0,0,0,0,0,0.25,0.5,137003,137604,601,0.969716727,7.831573486,301,258.6105347,601,0.2,0.2,0,0,0,0.2,0,0,0,0.4,downRight
141449,142246,797,0.774358901,40.75790405,496,180.6315613,797,0,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.5,142421,143024,603,0.97744362,5.557891846,301,246.3999939,603,0.2,0,0,0,0,0.2,0,0,0.2,0.2,downRight
145751,147855,2104,0.898226814,19.03158569,100,187,0,0,0.125,0,0,0.0625,0,0,0,0.0625,0.75,147942,148543,601,0.977732123,5.473678589,301,245.8105316,601,0.2,0,0.2,0,0.2,0,0,0,0,0.4,downRight
152466,153067,601,0.872544544,23.49473572,301,184.3368378,601,0,0.2,0,0,0,0,0.4,0,0,0.4,152961,153563,602,0.987696486,3.031585693,301,246.3999939,602,0.2,0,0,0,0,0.2,0.2,0,0,0.2,downRight
157178,157679,501,0.794965644,37.72631836,301,183.9999847,501,0,0,0.25,0,0,0,0.25,0,0,0.5,157675,158302,627,0.985289106,3.621047974,300,246.1473846,627,0.2,0,0,0,0,0,0.2,0,0,0.4,downRight
162095,162589,494,0.776147671,39.83157349,302,177.9368286,494,0,0,0.25,0,0,0.25,0,0,0,0.5,162705,163106,401,0.882159309,30.14736938,301,255.8315735,401,0,0.25,0.25,0,0,0,0,0,0,0.5,downRight
171515,172016,501,0.5756029,77.05264282,201,181.5578918,501,0,0,0,0,0.25,0,0.25,0,0,0.5,171041,171653,612,0.714335137,69.47369385,300,243.1999969,0,0,0,0.2,0,0,0,0,0,0.2,0.6,toLeft
176826,177327,501,0.455146322,97.17895508,200,178.3578949,501,0,0,0,0,0,0.5,0,0,0,0.5,176558,177059,501,0.638839735,85.97895813,100,238.0631714,501,0,0,0,0.25,0,0,0.25,0,0,0.5,toLeft
181436,181849,413,0.447173276,100.4631653,200,181.7263184,413,0,0,0,0,0,0.25,0.25,0,0,0.5,181066,181567,501,0.635626119,86.98947144,301,238.7368469,0,0,0,0,0.25,0,0.25,0,0,0,0.5,toLeft
185949,186450,501,0.588767164,72.75790405,114,176.9263,0,0,0,0,0,0.25,0,0.25,0,0,0.5,185475,186076,601,0.697484979,71.91578674,301,237.7263336,0,0,0,0,0.2,0,0,0,0,0.2,0.6,toLeft
190158,190760,602,0.714285714,50.02105713,301,175.0737,0,0,0,0.2,0,0,0,0,0.2,0.2,0.4,189685,190298,613,0.713626664,67.957901,301,237.3052673,613,0,0,0.2,0,0,0,0,0,0.4,0.4,toLeft
194768,195369,601,0.682884476,61.47367859,300,193.8526306,401,0,0,0,0.2,0,0.2,0,0,0,0.6,194401,195002,601,0.729395141,64.42105103,300,238.0631714,0,0,0,0.2,0,0,0.2,0,0,0.2,0.4,toLeft
