time,step,Galaxy-S6edge-dyamashita
1188,390,136.0
1191,391,132.0
1194,392,129.0
1197,393,125.0
1200,394,122.0
1203,395,118.0
1206,396,115.0
1209,397,114.0
1212,398,110.0
1215,399,107.0
1218,400,104.0
1221,401,101.0
1224,402,97.0
1227,403,94.0
1230,404,93.0
1233,405,91.0
1236,406,88.0
1239,407,86.0
1242,408,84.0
1245,409,82.0
1248,410,81.0
1251,411,77.0
1254,412,76.0
1257,413,73.0
1260,414,71.0
1263,415,70.0
1266,416,67.0
1269,417,66.0
1272,418,64.0
1275,419,61.0
1278,420,60.0
1281,421,59.0
1284,422,58.0
1287,423,56.0
1290,424,54.0
1293,425,53.0
1296,426,51.0
1299,427,50.0
1302,428,50.0
1305,429,49.0
1308,430,48.0
1311,431,47.0
1314,432,44.0
1317,433,45.0
1320,434,44.0
1323,435,42.0
1326,436,43.0
1329,437,41.0
1332,438,41.0
1336,439,40.0
1339,440,40.0
1342,441,39.0
1345,442,38.0
1348,443,38.0
1351,444,38.0
1354,445,38.0
1357,446,37.0
1360,447,37.0
1363,448,36.0
1366,449,36.0
1369,450,36.0
1372,451,36.0
1375,452,36.0
1378,453,36.0
1381,454,36.0
1384,455,36.0
1387,456,36.0
1390,457,36.0
1393,458,36.0
1396,459,36.0
1399,460,36.0
1402,461,36.0
1405,462,36.0
1408,463,36.0
1411,464,36.0
1414,465,36.0
1417,466,36.0
1420,467,36.0
1423,468,36.0
1426,469,36.0
1429,470,36.0
1432,471,36.0
1435,472,36.0
1438,473,36.0
1441,474,36.0
1444,475,36.0
1447,476,36.0
1450,477,36.0
1453,478,36.0
1456,479,36.0
1459,480,36.0
1462,481,36.0
1465,482,36.0
1468,483,36.0
1471,484,36.0
1474,485,36.0
1477,486,36.0
1480,487,36.0
1483,488,36.0
1486,489,36.0
1489,490,36.0
1492,491,36.0
1495,492,36.0
1498,493,36.0
1501,494,36.0
1504,495,36.0
1507,496,36.0
1511,497,36.0
1514,498,36.0
1517,499,36.0
1520,500,34.0
1523,501,0.0
1526,502,0.0
1529,503,0.0
1532,504,0.0
1535,505,0.0
1538,506,0.0
1541,507,0.0
1544,508,0.0
1547,509,0.0
1550,510,0.0
1553,511,0.0
1556,512,0.0
1559,513,0.0
1562,514,0.0
1565,515,0.0
