,nexus7-2013-haida
20847,142.6526336669922
20950,155.95790100097656
21148,151.15789794921875
21254,150.90525817871094
21451,205.81053161621094
21574,251.53684997558594
21755,269.2210388183594
21875,270.56842041015625
22056,269.89471435546875
22177,267.11578369140625
22360,267.5368347167969
22462,274.4421081542969
22662,274.273681640625
22777,267.7894592285156
22964,266.4421081542969
23088,269.97894287109375
23266,274.4421081542969
23389,272.4210510253906
23567,243.36842346191406
23694,61.81053161621094
23873,54.736846923828125
23976,89.93684387207031
24174,119.66316223144531
24284,125.726318359375
24474,127.83158874511719
24575,128.9263153076172
24782,137.09474182128906
24899,200.5894775390625
25084,228.2105255126953
25184,269.3894958496094
25385,269.47369384765625
25494,264.33685302734375
25687,266.61053466796875
25796,272.25262451171875
25988,273.43157958984375
26098,271.2420959472656
26291,267.45263671875
26392,267.5368347167969
26595,273.43157958984375
26695,274.3578796386719
26896,267.9578857421875
27005,266.9473571777344
27199,272.7579040527344
27307,272.5052490234375
27501,252.12631225585938
27710,138.273681640625
27804,86.3157958984375
28005,124.37895202636719
28109,127.15789794921875
28305,127.41053771972656
28413,126.56842041015625
28606,156.12631225585938
28716,200.33685302734375
28907,264.92633056640625
29019,262.3999938964844
29211,261.4736633300781
29338,270.4000244140625
29512,271.4105224609375
29625,269.6421203613281
29816,268.9684143066406
29926,267.70526123046875
30119,272.7579040527344
30228,275.2842102050781
30421,269.2210388183594
30521,267.70526123046875
30722,270.56842041015625
30841,272.9263000488281
31022,272.7579040527344
31137,267.45263671875
31324,266.7789611816406
31444,273.43157958984375
31626,274.02105712890625
31742,269.47369384765625
31927,269.2210388183594
32045,268.54736328125
32231,269.3894958496094
32332,44.96842956542969
32532,11.70526123046875
32632,7.9157867431640625
32844,12.968414306640625
32957,32.757904052734375
33139,104.75790405273438
33259,132.2105255126953
33442,156.2105255126953
33560,160.9263153076172
33742,174.5684051513672
33861,209.17893981933594
34043,228.79998779296875
34164,269.8105163574219
34344,274.02105712890625
34464,275.78948974609375
34645,268.9684143066406
34767,267.11578369140625
34948,271.915771484375
35052,273.178955078125
35251,273.43157958984375
35366,260.631591796875
35552,68.29473876953125
35753,18.105270385742188
35887,15.578948974609375
36054,13.642105102539062
36182,39.15789794921875
36361,117.89474487304688
36461,131.45263671875
36662,142.3157958984375
36779,144.7578887939453
36965,157.55789184570312
37067,186.18948364257812
37267,170.94737243652344
37367,248.9263153076172
37568,269.726318359375
37681,267.0315856933594
37870,273.3473815917969
37984,273.8526306152344
38172,270.4000244140625
38290,269.3894958496094
38474,267.9578857421875
38575,273.178955078125
38775,267.3684387207031
38875,148.3789520263672
39077,36.80000305175781
39176,7.2421112060546875
39376,4.54736328125
39476,12.126312255859375
39677,39.4105224609375
39777,118.3157958984375
39977,124.96842956542969
40077,136.7578887939453
40278,145.60000610351562
40379,142.3157958984375
40579,138.273681640625
40679,154.02105712890625
40879,167.2421112060547
