Time,Lux
1468946734113,60.0
1468946734182,58.0
1468946734322,54.0
1468946734392,58.0
1468946734463,62.0
1468946734533,66.0
1468946734602,64.0
1468946734672,56.0
1468946734741,54.0
1468946734811,56.0
1468946734881,58.0
1468946734951,66.0
1468946735021,64.0
1468946735092,60.0
1468946735163,58.0
1468946735232,64.0
1468946735301,66.0
1468946735510,64.0
1468946735650,62.0
1468946735790,60.0
1468946735929,62.0
1468946735999,58.0
1468946736069,56.0
1468946736140,58.0
1468946736210,56.0
1468946736279,58.0
1468946736349,62.0
1468946736419,64.0
1468946736490,62.0
1468946736629,60.0
1468946736699,58.0
1468946736839,60.0
1468946736909,64.0
1468946736978,66.0
1468946737117,62.0
1468946737187,64.0
1468946737257,62.0
1468946737327,64.0
1468946737396,66.0
1468946737467,62.0
1468946737536,64.0
1468946737606,60.0
1468946737676,62.0
1468946737747,58.0
1468946737956,60.0
1468946738027,62.0
1468946738166,60.0
1468946738237,56.0
1468946738376,58.0
1468946738446,64.0
1468946738516,60.0
1468946738585,64.0
1468946738655,62.0
1468946738725,64.0
1468946738795,62.0
1468946738864,66.0
1468946738935,64.0
1468946739004,56.0
1468946739073,54.0
1468946739285,58.0
1468946739354,62.0
1468946739493,56.0
1468946739633,60.0
1468946739772,58.0
1468946739843,56.0
1468946739982,52.0
1468946740053,50.0
1468946740192,54.0
1468946740331,60.0
1468946740402,58.0
1468946740471,62.0
1468946740542,60.0
1468946740613,58.0
1468946740682,60.0
1468946740751,62.0
1468946740821,58.0
1468946740961,60.0
1468946741101,64.0
1468946741171,58.0
1468946741520,60.0
1468946741590,62.0
1468946741661,66.0
1468946741731,64.0
1468946741799,58.0
1468946741869,56.0
1468946742079,54.0
1468946742150,58.0
1468946742288,62.0
1468946742498,60.0
1468946742568,56.0
1468946742637,58.0
1468946742709,62.0
1468946742779,64.0
1468946742848,62.0
1468946742919,60.0
1468946743059,62.0
1468946743128,64.0
1468946743198,58.0
1468946743269,56.0
1468946743338,60.0
1468946743477,58.0
1468946743546,52.0
1468946743615,56.0
1468946743685,58.0
1468946743755,60.0
1468946743825,66.0
1468946743965,68.0
1468946744035,66.0
1468946744106,62.0
1468946744177,60.0
1468946744386,58.0
1468946744456,64.0
1468946744526,62.0
1468946744596,60.0
1468946744666,56.0
1468946744736,54.0
1468946744806,58.0
1468946744875,60.0
1468946744945,62.0
1468946745296,60.0
1468946745365,62.0
1468946745435,60.0
1468946745505,66.0
1468946745574,60.0
1468946745643,62.0
1468946745714,58.0
1468946745783,60.0
1468946745854,54.0
1468946745925,56.0
1468946745994,60.0
1468946746064,56.0
1468946746202,60.0
1468946746342,62.0
1468946746412,60.0
1468946746621,58.0
1468946746692,54.0
1468946746833,56.0
1468946746903,62.0
1468946747044,60.0
1468946747112,58.0
1468946747181,60.0
1468946747252,62.0
1468946747321,68.0
1468946747391,66.0
1468946747461,64.0
1468946747531,58.0
1468946747602,62.0
1468946747741,66.0
1468946747811,68.0
1468946747881,62.0
1468946747951,60.0
1468946748021,62.0
1468946748090,60.0
1468946748159,56.0
1468946748369,58.0
1468946748439,62.0
1468946748579,60.0
1468946748650,56.0
1468946748720,60.0
1468946748928,62.0
1468946748998,58.0
1468946749068,56.0
1468946749139,54.0
1468946749209,56.0
1468946749279,52.0
1468946749349,54.0
1468946749419,56.0
1468946749489,62.0
1468946749628,64.0
1468946749698,62.0
1468946749769,64.0
1468946749838,66.0
1468946749909,62.0
1468946749978,60.0
1468946750117,58.0
1468946750187,52.0
1468946750258,56.0
1468946750327,60.0
1468946750398,58.0
1468946750606,62.0
1468946750677,60.0
1468946750816,62.0
1468946750886,60.0
1468946750957,62.0
1468946751096,64.0
1468946751166,62.0
1468946751236,68.0
1468946751305,64.0
1468946751376,66.0
1468946751445,62.0
1468946751516,60.0
1468946751655,62.0
1468946751795,60.0
1468946751866,62.0
1468946751935,60.0
1468946752005,58.0
1468946752073,54.0
1468946752143,56.0
1468946752213,58.0
1468946752282,56.0
1468946752352,62.0
1468946752422,64.0
1468946752492,68.0
1468946752562,58.0
1468946752632,54.0
1468946752702,58.0
1468946752771,60.0
1468946752843,58.0
1468946752983,56.0
1468946753053,60.0
1468946753124,54.0
1468946753193,50.0
1468946753263,54.0
1468946753333,58.0
1468946753404,62.0
1468946753613,58.0
1468946753752,56.0
1468946753892,58.0
1468946753963,60.0
1468946754032,64.0
1468946754101,62.0
1468946754172,60.0
1468946754241,62.0
1468946754380,58.0
1468946754451,62.0
1468946754522,60.0
1468946754591,64.0
1468946754661,58.0
1468946754730,60.0
1468946754801,58.0
1468946754870,56.0
1468946754941,60.0
1468946755010,58.0
1468946755151,66.0
1468946755220,68.0
1468946755289,64.0
1468946755359,58.0
1468946755429,60.0
1468946755777,58.0
1468946755920,62.0
1468946756062,56.0
1468946756267,54.0
1468946756339,58.0
1468946756477,56.0
1468946756617,60.0
1468946756688,58.0
1468946756758,62.0
1468946756829,60.0
1468946756897,62.0
1468946757037,60.0
1468946757176,62.0
1468946757246,64.0
1468946757386,60.0
1468946757457,58.0
1468946757527,62.0
1468946757596,64.0
1468946757735,66.0
1468946757805,62.0
1468946758014,60.0
1468946758085,58.0
1468946758155,56.0
1468946758224,54.0
1468946758294,60.0
1468946758363,62.0
1468946758432,64.0
1468946758502,60.0
1468946758572,62.0
1468946758642,58.0
1468946758712,62.0
1468946758782,58.0
1468946758924,52.0
1468946759132,56.0
1468946759202,58.0
1468946759272,54.0
1468946759342,56.0
1468946759412,60.0
1468946759623,58.0
1468946759692,54.0
1468946759762,52.0
1468946759831,58.0
1468946759971,64.0
1468946760040,60.0
1468946760110,62.0
1468946760179,60.0
1468946760319,62.0
1468946760389,60.0
1468946760599,58.0
1468946760668,56.0
1468946760808,52.0
1468946760878,54.0
1468946760948,56.0
1468946761019,60.0
1468946761090,58.0
1468946761161,62.0
1468946761229,60.0
1468946761299,56.0
1468946761438,58.0
1468946761508,62.0
1468946761579,58.0
1468946761649,60.0
1468946761718,58.0
1468946761928,56.0
1468946761999,54.0
1468946762070,56.0
1468946762138,54.0
1468946762208,60.0
1468946762278,62.0
1468946762487,56.0
1468946762558,62.0
1468946762697,60.0
1468946762767,56.0
