> #Galaxy-S5
   45,    4,    1,     3,  7
    2,   56,    0,     0,  2
    0,    0,   57,     2,  1
    1,    4,    0,    54,  1
    8,    1,    4,     1, 46
> #Galaxy-S6edge
   56,    0,    0,     2,  2
    0,   60,    0,     0,  0
    0,    1,   48,     6,  5
    2,    0,    0,    58,  0
    7,    0,    0,     3, 50
> #Xperia-Z3
   44,    3,    1,     0, 12
    0,   59,    1,     0,  0
    0,    0,   60,     0,  0
    2,    0,    0,    58,  0
    2,    2,    5,     1, 50
> #Xperia-Z5
   43,    8,    0,     0,  9
    8,   52,    0,     0,  0
    0,    0,   59,     0,  1
    1,    0,    0,    58,  1
   11,    4,    1,     0, 44
> #nexus7-2012
   55,    5,    0,     0,  0
    4,   56,    0,     0,  0
    0,    0,   60,     0,  0
    0,    0,    0,    60,  0
   10,    1,    0,     0, 49
> #nexus7-2013
   48,    3,    0,     2,  7
    3,   48,    1,     0,  8
    0,    0,   57,     3,  0
    2,    0,    3,    54,  1
   13,    1,    1,     4, 41
