diffStartTime,diffEndTime,RatioGestureTime,RatioDeepestRate,Device1Descent,Device1Ascent,Device1DiffDescentAscent,Device1DeepestRate,Device2Descent,Device2Ascent,Device2DiffDescentAscent,Device2DeepestRate,gesture
741,-59,0.556786704,4.940001667,-1.91E-07,1.90E-07,-3.81E-07,41.6000061,-2.16E-08,2.14E-10,-2.18E-08,8.421051025,upTop
841,-175,0.496531219,2.35353478,-1.77E-07,1.77E-07,-3.54E-07,39.24211121,-3.76E-08,3.72E-10,-3.80E-08,16.6736908,upTop
761,-54,0.548226164,5.564702623,-1.79E-07,1.78E-07,-3.57E-07,39.83157349,-1.77E-08,1.75E-10,-1.79E-08,7.157897949,upTop
630,-163,0.62345679,0.116666679,-1.55E-08,1.55E-08,-3.10E-08,4.715789795,-8.36E-08,8.24E-10,-8.44E-08,40.42105103,downTop
542,-261,0.555124654,0.14919365,-2.62E-08,2.61E-08,-5.24E-08,6.231582642,-9.81E-08,9.70E-10,-9.91E-08,41.76841736,downTop
238,-163,0.714183892,0.121756472,-2.12E-08,2.12E-08,-4.24E-08,5.13684082,-1.25E-07,1.24E-09,-1.26E-07,42.18946838,downTop
248,-98,0.741405082,0.168336667,-2.90E-08,2.89E-08,-5.79E-08,7.073684692,-1.28E-07,1.27E-09,-1.29E-07,42.02105713,downTop
338,-145,0.678856383,0.043032692,-6.92E-09,6.89E-09,-1.38E-08,1.768417358,-1.09E-07,1.08E-09,-1.10E-07,41.09474182,downTop
370,-253,0.585771277,0.157171031,-3.00E-08,2.99E-08,-5.99E-08,6.736846924,-1.12E-07,1.11E-09,-1.13E-07,42.86315918,downTop
558,57,0.722283814,0.095145544,-1.22E-08,1.22E-08,-2.44E-08,4.126312256,-9.33E-08,9.21E-10,-9.42E-08,43.36842346,downTop
358,-245,0.599069149,0.140043955,-2.27E-08,2.26E-08,-4.53E-08,5.389480591,-9.75E-08,9.66E-10,-9.85E-08,38.48420715,downTop
258,-50,0.764705882,0.163895613,-2.17E-08,2.16E-08,-4.33E-08,5.810531616,-1.02E-07,1.01E-09,-1.03E-07,35.45263672,downTop
654,-158,0.552370452,0.308943281,-3.51E-08,3.50E-08,-7.01E-08,9.600006104,-6.32E-08,6.25E-10,-6.38E-08,31.07368469,downTop
-144,-217,0.943975441,0.697542624,-9.07E-08,9.03E-08,-1.81E-07,31.07368469,-1.23E-07,1.22E-09,-1.24E-07,44.54736328,toBottom
-246,356,1.545784225,0.379585186,-4.17E-08,4.14E-08,-8.32E-08,20.042099,-1.69E-07,1.68E-09,-1.71E-07,52.80000305,toBottom
-39,-236,0.803393214,0.733438451,-1.69E-07,1.69E-07,-3.38E-07,39.15789795,-1.86E-07,1.85E-09,-1.88E-07,53.38948059,toBottom
62,-235,0.752911814,0.734197661,-1.45E-07,1.44E-07,-2.89E-07,38.14736938,-1.49E-07,1.48E-09,-1.50E-07,51.957901,toBottom
1566,-334,0.297856615,1.808580656,-1.94E-07,1.93E-07,-3.87E-07,46.14736938,-3.21E-08,3.18E-10,-3.24E-08,25.51579285,toBottom
-132,-436,0.747298421,0.724960311,-1.43E-07,1.42E-07,-2.85E-07,38.40000916,-1.47E-07,1.47E-09,-1.49E-07,52.96842957,toBottom
-42,-337,0.670758929,1.05164316,-3.10E-07,3.10E-07,-6.20E-07,56.58947754,-1.98E-07,1.97E-09,-2.00E-07,53.81053162,toBottom
64,-241,0.724480578,1.048484772,-2.37E-07,2.36E-07,-4.73E-07,58.27368164,-1.64E-07,1.63E-09,-1.65E-07,55.57894897,toBottom
-39,-541,0.582709892,0.984779084,-2.50E-07,2.49E-07,-4.99E-07,54.48420715,-1.48E-07,1.47E-09,-1.49E-07,55.32632446,toBottom
-142,-444,0.748960931,0.915470359,-1.69E-07,1.69E-07,-3.38E-07,48.33683777,-1.39E-07,1.38E-09,-1.40E-07,52.80000305,toBottom
-132,-233,0.928011404,0.021538322,-2.80E-09,2.79E-09,-5.60E-09,1.178939819,-1.21E-07,1.20E-09,-1.22E-07,54.73684692,upBottom
-230,-425,0.805389222,0.124203796,-2.49E-08,2.48E-08,-4.97E-08,6.56842041,-1.61E-07,1.61E-09,-1.63E-07,52.88421631,upBottom
-28,-242,0.789370079,0.086821701,-1.77E-08,1.77E-08,-3.54E-08,4.715789795,-1.61E-07,1.61E-09,-1.63E-07,54.3157959,upBottom
-130,-330,0.833748961,0.09046851,-1.40E-08,1.40E-08,-2.80E-08,4.715789795,-1.29E-07,1.29E-09,-1.31E-07,52.12631226,upBottom
-25,-426,0.666389351,0.088028162,-1.55E-08,1.54E-08,-3.09E-08,4.210525513,-1.17E-07,1.17E-09,-1.18E-07,47.83157349,upBottom
-325,-324,1.000998004,0.107142794,-1.61E-08,1.61E-08,-3.22E-08,5.557891846,-1.51E-07,1.50E-09,-1.52E-07,51.87368774,upBottom
-513,-415,1.057511737,0.070739507,-5.92E-09,5.89E-09,-1.18E-08,3.70526123,-8.86E-08,8.79E-10,-8.95E-08,52.37895203,upBottom
-317,-408,0.924543947,0.110155048,-1.37E-08,1.36E-08,-2.73E-08,5.389480591,-1.15E-07,1.14E-09,-1.16E-07,48.92631531,upBottom
-216,-422,0.842748092,0.067823248,-9.18E-09,9.15E-09,-1.83E-08,3.621047974,-1.14E-07,1.13E-09,-1.15E-07,53.38948059,upBottom
-317,-317,1,0.049423495,-6.97E-09,6.95E-09,-1.39E-08,2.526321411,-1.41E-07,1.40E-09,-1.42E-07,51.11579895,upBottom
84,-419,0.665558511,2.434342704,-1.10E-07,1.10E-07,-2.21E-07,40.58947754,-3.03E-08,3.01E-10,-3.06E-08,16.6736908,downBottom
-118,-620,0.642450142,1.812260659,-1.19E-07,1.19E-07,-2.38E-07,39.83157349,-4.23E-08,4.20E-10,-4.27E-08,21.97894287,downBottom
-115,781,1.593377483,1.983050301,-2.20E-08,2.18E-08,-4.38E-08,19.70526123,-1.76E-08,1.74E-10,-1.78E-08,9.936843872,downBottom
-128,-630,0.582709892,2.692307906,-1.66E-07,1.66E-07,-3.33E-07,44.21052551,-3.61E-08,3.59E-10,-3.64E-08,16.42105103,downBottom
-132,-532,0.715302491,13.26317145,-1.10E-07,1.10E-07,-2.21E-07,42.44210815,-5.96E-09,5.93E-11,-6.02E-09,3.199996948,downBottom
-130,-835,0.586024662,5.72499581,-1.00E-07,9.98E-08,-2.00E-07,38.56842041,-1.03E-08,1.02E-10,-1.04E-08,6.736846924,downBottom
-128,-523,0.768056371,4.400003294,-7.99E-08,7.97E-08,-1.60E-07,40.75790405,-1.40E-08,1.39E-10,-1.41E-08,9.263153076,downBottom
-118,-725,0.643779343,8.884604798,-9.02E-08,8.99E-08,-1.80E-07,38.90525818,-6.54E-09,6.51E-11,-6.61E-09,4.378952026,downBottom
-116,-612,0.708920188,18.60606959,-1.08E-07,1.07E-07,-2.15E-07,51.70526123,-4.11E-09,4.09E-11,-4.15E-09,2.778945923,downBottom
-104,-504,0.733688415,2.499999513,-8.86E-08,8.84E-08,-1.77E-07,39.15789795,-2.61E-08,2.59E-10,-2.63E-08,15.66316223,downBottom
