time,step,Galaxy-S6edge-dyamashita
11,0,0.0
14,1,0.0
17,2,0.0
20,3,0.0
23,4,0.0
26,5,0.0
29,6,0.0
32,7,0.0
35,8,0.0
38,9,0.0
41,10,0.0
44,11,34.0
47,12,36.0
50,13,38.0
53,14,38.0
56,15,36.0
59,16,36.0
62,17,36.0
65,18,38.0
68,19,36.0
71,20,38.0
74,21,36.0
77,22,36.0
80,23,36.0
83,24,36.0
86,25,36.0
89,26,37.0
92,27,37.0
95,28,36.0
99,29,36.0
102,30,36.0
105,31,36.0
108,32,36.0
111,33,36.0
114,34,37.0
117,35,36.0
120,36,36.0
123,37,36.0
126,38,36.0
129,39,37.0
132,40,37.0
135,41,37.0
138,42,37.0
141,43,36.0
144,44,38.0
147,45,36.0
150,46,38.0
153,47,36.0
156,48,37.0
159,49,36.0
162,50,37.0
165,51,36.0
168,52,36.0
171,53,36.0
174,54,36.0
177,55,36.0
180,56,37.0
183,57,37.0
186,58,37.0
189,59,37.0
192,60,37.0
195,61,37.0
198,62,37.0
201,63,37.0
204,64,38.0
208,65,39.0
211,66,38.0
214,67,39.0
217,68,39.0
220,69,39.0
223,70,40.0
226,71,41.0
229,72,42.0
232,73,43.0
235,74,44.0
238,75,44.0
241,76,45.0
244,77,45.0
247,78,46.0
250,79,48.0
253,80,47.0
256,81,48.0
259,82,49.0
262,83,51.0
265,84,54.0
268,85,54.0
271,86,54.0
274,87,56.0
277,88,58.0
280,89,60.0
283,90,61.0
286,91,63.0
289,92,66.0
292,93,66.0
295,94,68.0
298,95,71.0
301,96,72.0
304,97,73.0
307,98,76.0
310,99,78.0
313,100,81.0
317,101,82.0
320,102,84.0
323,103,87.0
326,104,90.0
329,105,92.0
332,106,94.0
335,107,97.0
338,108,99.0
341,109,102.0
344,110,105.0
347,111,107.0
350,112,110.0
353,113,114.0
356,114,115.0
359,115,120.0
362,116,123.0
365,117,127.0
368,118,130.0
371,119,133.0
374,120,137.0
377,121,140.0
380,122,143.0
383,123,148.0
386,124,148.0
389,125,152.0
392,126,157.0
395,127,162.0
398,128,166.0
401,129,167.0
404,130,171.0
407,131,176.0
410,132,179.0
413,133,184.0
416,134,189.0
419,135,193.0
422,136,199.0
426,137,204.0
429,138,207.0
432,139,210.0
435,140,215.0
438,141,220.0
441,142,226.0
444,143,230.0
447,144,235.0
450,145,236.0
453,146,246.0
456,147,251.0
459,148,255.0
462,149,260.0
465,150,267.0
468,151,269.0
471,152,277.0
474,153,281.0
477,154,287.0
480,155,292.0
483,156,299.0
486,157,300.0
489,158,306.0
492,159,311.0
495,160,322.0
498,161,323.0
501,162,329.0
504,163,335.0
507,164,341.0
510,165,349.0
513,166,356.0
516,167,361.0
519,168,367.0
522,169,371.0
525,170,376.0
528,171,379.0
531,172,388.0
535,173,395.0
538,174,403.0
541,175,407.0
544,176,412.0
547,177,424.0
550,178,428.0
553,179,432.0
556,180,438.0
559,181,441.0
562,182,451.0
565,183,464.0
568,184,467.0
571,185,472.0
574,186,477.0
577,187,487.0
580,188,499.0
583,189,504.0
586,190,509.0
589,191,516.0
592,192,525.0
595,193,538.0
598,194,542.0
601,195,544.0
604,196,549.0
607,197,563.0
610,198,570.0
613,199,575.0
616,200,581.0
619,201,585.0
622,202,596.0
625,203,608.0
628,204,616.0
631,205,622.0
634,206,628.0
637,207,641.0
641,208,645.0
644,209,652.0
647,210,657.0
650,211,669.0
653,212,681.0
656,213,693.0
659,214,701.0
662,215,703.0
665,216,712.0
668,217,720.0
671,218,731.0
674,219,740.0
677,220,749.0
680,221,754.0
683,222,760.0
686,223,773.0
689,224,784.0
692,225,788.0
695,226,800.0
698,227,809.0
701,228,814.0
704,229,824.0
707,230,833.0
710,231,839.0
713,232,854.0
716,233,861.0
719,234,869.0
722,235,879.0
725,236,890.0
728,237,896.0
731,238,903.0
734,239,906.0
737,240,919.0
740,241,919.0
743,242,919.0
746,243,919.0
750,244,919.0
753,245,918.0
756,246,919.0
759,247,918.0
762,248,918.0
765,249,918.0
768,250,918.0
771,251,918.0
774,252,918.0
777,253,917.0
780,254,918.0
783,255,917.0
786,256,916.0
789,257,917.0
792,258,916.0
