nullCDAB,DCAB,16526238182539725876
ABDC,ABDC,30811314993150133453
DCAB,DCAB,36505373653803938616
BADC,BADC,42128428464335644192
ABCD,ABDC,47272479514797748907
CADB,CADB,53121536765490755070
ACDB,ACDB,61601621886286063904
BDCA,BDAC,67719680156952470318
ADCB,ADCB,73937744657643377341
DBCA,DBCA,80803816558255183163
ADBC,ADBC,86776875588839689294
DBAC,DBAC,92683940919510895823
CBAD,CDBA,97046102462102520103626
BDAC,BDAC,107035107212108645109483
CBDA,CBDA,112893113756114127115361
BACD,BACD,121690122681123241123796
BCAD,BDCA,127591128335128762129300
CABD,CABD,133875134614135416135688
DABC,DABC,141732142737143546144323
CDBA,DCBA,147756148674150264151064
ACBD,ACBD,154574155358156184156537
DACB,DACB,161161162102162780163610
BCDA,BCDA,170228171230171729172619
DCBA,DCBA,179385181245182168182951

