time,step,nexus7-2012-hmurakami,nexus7-2013-haida
309,103,190.0,58.10527038574219
312,104,198.0,59.53684997558594
315,105,198.0,61.38948059082031
318,106,206.0,62.06315612792969
321,107,216.0,64.0
324,108,222.0,66.18948364257813
327,109,226.0,68.71578979492188
330,110,228.0,70.65263366699219
333,111,238.0,71.24211120605469
336,112,244.0,74.18948364257813
339,113,248.0,74.8631591796875
342,114,256.0,78.56842041015625
345,115,264.0,81.09474182128906
348,116,268.0,83.28421020507813
351,117,280.0,83.70526123046875
354,118,290.0,86.65263366699219
357,119,304.0,89.85263061523438
360,120,308.0,90.8631591796875
363,121,318.0,92.63157653808594
366,122,320.0,95.57894897460938
369,123,332.0,95.41053771972656
372,124,340.0,99.45263671875
375,125,346.0,103.07368469238281
378,126,348.0,107.11579895019531
381,127,364.0,106.273681640625
384,128,374.0,107.95790100097656
387,129,386.0,111.91578674316406
390,130,398.0,115.87368774414063
393,131,408.0,118.65263366699219
396,132,412.0,119.24211120605469
399,133,418.0,122.44210815429688
402,134,432.0,129.26315307617188
405,135,444.0,130.273681640625
408,136,450.0,133.64210510253906
411,137,460.0,134.23158264160156
414,138,468.0,135.32630920410156
417,139,486.0,139.45263671875
420,140,492.0,142.3157958984375
423,141,506.0,148.54736328125
426,142,518.0,152.25262451171875
429,143,528.0,155.87368774414063
432,144,542.0,160.3368377685547
435,145,550.0,163.53683471679688
438,146,564.0,165.1368408203125
441,147,580.0,170.5263214111328
444,148,586.0,171.87368774414063
447,149,600.0,171.45263671875
450,150,604.0,179.78948974609375
453,151,622.0,183.66314697265625
456,152,628.0,186.0210418701172
459,153,642.0,186.1052703857422
462,154,664.0,189.5579071044922
465,155,676.0,195.11578369140625
468,156,680.0,200.25262451171875
471,157,690.0,206.40000915527344
474,158,714.0,210.69473266601563
477,159,718.0,212.88421630859375
480,160,734.0,221.97894287109375
483,161,752.0,223.57896423339844
486,162,768.0,225.85263061523438
489,163,776.0,231.91578674316406
492,164,792.0,227.11578369140625
495,165,800.0,231.91578674316406
498,166,822.0,239.49473571777344
501,167,840.0,245.05262756347656
504,168,848.0,244.04209899902344
507,169,866.0,258.52630615234375
510,170,886.0,264.92633056640625
513,171,890.0,264.4210510253906
516,172,912.0,265.43157958984375
519,173,926.0,272.1684265136719
522,174,948.0,277.47369384765625
525,175,960.0,283.03155517578125
528,176,974.0,289.9368591308594
531,177,990.0,292.0421142578125
534,178,1012.0,297.43157958984375
537,179,1014.0,306.6947326660156
540,180,1030.0,295.5789489746094
543,181,1066.0,317.38946533203125
546,182,1070.0,317.97894287109375
549,183,1088.0,319.5789489746094
552,184,1110.0,325.97894287109375
555,185,1110.0,327.4105224609375
558,186,1142.0,326.06317138671875
561,187,1164.0,329.7684326171875
564,188,1166.0,329.6842346191406
567,189,1184.0,339.78948974609375
570,190,1202.0,346.1052551269531
573,191,1222.0,350.3999938964844
576,192,1244.0,356.79998779296875
579,193,1246.0,361.6842346191406
582,194,1268.0,365.30523681640625
585,195,1294.0,370.35791015625
588,196,1312.0,374.0631408691406
591,197,1326.0,393.5999755859375
594,198,1336.0,395.1999816894531
597,199,1356.0,400.25262451171875
600,200,1384.0,401.5157775878906
603,201,1388.0,403.2842102050781
606,202,1404.0,410.6947326660156
609,203,1430.0,409.178955078125
612,204,1446.0,413.8947448730469
615,205,1464.0,414.8210754394531
618,206,1492.0,422.3157958984375
621,207,1510.0,452.631591796875
624,208,1524.0,450.273681640625
627,209,1538.0,447.4105224609375
630,210,1556.0,46.989471435546875
633,211,1574.0,453.4736633300781
636,212,1594.0,461.9789733886719
639,213,1616.0,462.7368469238281
642,214,1634.0,476.29473876953125
645,215,1664.0,486.1473693847656
648,216,1680.0,490.189453125
651,217,1700.0,499.5368347167969
654,218,1714.0,506.273681640625
657,219,1732.0,495.6631774902344
660,220,1760.0,507.6210632324219
663,221,1778.0,498.9473571777344
666,222,1796.0,518.3157958984375
669,223,1812.0,531.7894897460938
672,224,1838.0,538.7789916992188
675,225,1858.0,539.7052612304688
678,226,1884.0,541.894775390625
681,227,1904.0,552.0
684,228,1928.0,559.915771484375
687,229,1944.0,567.5789184570313
690,230,1962.0,559.4105224609375
693,231,1990.0,578.5263061523438
696,232,1998.0,579.0315551757813
699,233,2030.0,584.4210815429688
702,234,2050.0,589.9789428710938
705,235,2072.0,603.2000122070313
708,236,2094.0,602.8631591796875
711,237,2100.0,610.7789306640625
714,238,2144.0,621.3052368164063
717,239,2170.0,624.2526245117188
720,240,2180.0,632.7578735351563
723,241,2184.0,628.2105102539063
726,242,2210.0,636.2947387695313
729,243,2206.0,636.3789672851563
732,244,2204.0,635.2842407226563
735,245,2198.0,639.4105224609375
738,246,2202.0,632.8421020507813
741,247,2198.0,634.9473876953125
744,248,2198.0,635.6210327148438
747,249,2196.0,639.4105224609375
750,250,2198.0,637.2210693359375
753,251,2202.0,635.7894897460938
756,252,2198.0,637.0526123046875
759,253,2212.0,635.452621459961
762,254,2202.0,632.2526245117188
765,255,2202.0,636.7157592773438
768,256,2206.0,635.9578857421875
771,257,2204.0,636.7999877929688
774,258,2200.0,636.4631958007813
777,259,2200.0,636.54736328125
780,260,2200.0,635.45263671875
783,261,2202.0,636.7999877929688
786,262,2202.0,636.9684448242188
789,263,2202.0,636.631591796875
792,264,2194.0,634.273681640625
795,265,2206.0,636.0421142578125
798,266,2202.0,635.2842407226563
801,267,2208.0,634.105224609375
804,268,2200.0,635.8737182617188
807,269,2204.0,633.0947875976563
810,270,2204.0,635.7052612304688
813,271,2198.0,635.6210327148438
816,272,2194.0,635.7894897460938
819,273,2170.0,629.810546875
822,274,2154.0,624.1683959960938
825,275,2140.0,613.3052978515625
828,276,2110.0,611.6210327148438
831,277,2084.0,602.8631591796875
834,278,2064.0,598.821044921875
837,279,2038.0,593.010498046875
840,280,2022.0,588.0421142578125
843,281,1998.0,578.6105346679688
846,282,1978.0,577.6842041015625
849,283,1958.0,567.4105224609375
852,284,1934.0,559.4947509765625
855,285,1914.0,556.9684448242188
858,286,1884.0,553.4315795898438
861,287,1878.0,540.1263427734375
864,288,1846.0,534.3157958984375
867,289,1830.0,526.7368774414063
870,290,1802.0,529.347412109375
873,291,1784.0,516.9684448242188
876,292,1768.0,516.631591796875
879,293,1746.0,499.62103271484375
882,294,1724.0,502.9052734375
885,295,1706.0,496.25262451171875
888,296,1684.0,483.4526062011719
891,297,1668.0,475.03155517578125
894,298,1654.0,489.8526306152344
897,299,1630.0,466.6105041503906
900,300,1616.0,468.1263122558594
903,301,1584.0,460.0421142578125
906,302,1560.0,456.0841979980469
909,303,1552.0,455.3263244628906
