,nexus7-2013-amiyoshi
37189,175.24209594726562
37300,179.53683471679688
37492,180.71578979492188
37601,176.67369079589844
37794,177.17893981933594
37904,181.3894805908203
38099,177.09474182128906
38206,176.67369079589844
38306,180.63156127929688
38500,178.02105712890625
38609,175.32630920410156
38801,179.1999969482422
38909,162.69473266601562
39103,100.54737854003906
39213,81.34736633300781
39315,85.1368408203125
39506,80.50526428222656
39619,72.50526428222656
39807,97.09474182128906
39907,168.08421325683594
40108,177.09474182128906
40208,180.88421630859375
40308,177.3473663330078
40511,176.084228515625
40625,179.9578857421875
40814,177.26315307617188
40925,174.98947143554688
41117,179.78948974609375
41218,179.1999969482422
41326,174.6526336669922
41518,178.77896118164062
41626,180.54736328125
41819,175.24209594726562
41926,178.44210815429688
42120,166.82106018066406
42220,77.81053161621094
42321,70.14736938476562
42520,88.0
42638,94.23158264160156
42822,89.09474182128906
42931,86.82106018066406
43123,130.1052703857422
43233,170.94737243652344
43426,179.36842346191406
43534,179.87368774414062
43633,175.915771484375
43827,177.26315307617188
43937,180.71578979492188
44128,176.084228515625
44239,176.4210662841797
44433,179.53683471679688
44533,176.50526428222656
44652,176.4210662841797
44835,180.2947235107422
44948,177.93682861328125
45138,174.4842071533203
45256,179.1999969482422
45440,179.78948974609375
45559,175.24209594726562
45658,152.42105102539062
45841,69.89474487304688
45945,65.43157958984375
46243,86.82106018066406
46445,79.83158874511719
46567,68.0421142578125
46747,131.6210479736328
46867,172.71578979492188
46968,174.6526336669922
47150,180.46316528320312
47269,179.28419494628906
47452,174.98947143554688
47572,179.36842346191406
47673,180.96841430664062
47855,175.15789794921875
47972,177.17893981933594
48156,180.46316528320312
48261,175.32630920410156
48459,177.01052856445312
48578,181.13685607910156
48761,177.17893981933594
48878,175.24209594726562
48981,169.76841735839844
49164,80.92631530761719
49269,62.90525817871094
49467,68.80000305175781
49768,69.38948059082031
49889,67.78947448730469
50171,165.3894805908203
50292,176.4210662841797
50474,181.05262756347656
50594,177.5157928466797
50775,176.92630004882812
50895,180.2947235107422
50996,177.5157928466797
51178,174.82106018066406
51304,179.78948974609375
51480,179.6210479736328
51601,175.07369995117188
51782,178.5263214111328
51902,179.53683471679688
52003,175.32630920410156
52185,177.26315307617188
52304,181.726318359375
52487,176.67369079589844
52608,176.25262451171875
52790,180.63156127929688
52908,177.4315948486328
53009,174.98947143554688
53192,181.05262756347656
53311,178.35789489746094
53494,174.06317138671875
53615,179.53683471679688
53797,179.45263671875
53915,175.24209594726562
54016,177.4315948486328
54199,178.77896118164062
54319,70.56842041015625
54503,6.8210601806640625
54620,1.263153076171875
54807,1.0947418212890625
54914,3.536834716796875
55107,12.210525512695312
55225,118.40000915527344
55326,173.22105407714844
55508,180.04209899902344
55811,175.83157348632812
55927,179.70526123046875
56112,180.63156127929688
56231,174.6526336669922
56332,178.1052703857422
56515,180.96841430664062
56635,174.82106018066406
56817,175.915771484375
56937,180.3789520263672
57120,171.87368774414062
57241,58.77894592285156
57422,7.74737548828125
57543,5.8105316162109375
57645,6.2315826416015625
57826,12.968414306640625
57945,77.1368408203125
58127,166.73684692382812
58248,179.28419494628906
58347,180.46316528320312
58530,174.98947143554688
58649,178.1052703857422
58832,181.3894805908203
58951,176.84210205078125
59134,177.3473663330078
59254,180.2947235107422
59355,176.75790405273438
59537,175.07369995117188
59658,180.63156127929688
59839,176.84210205078125
59939,174.4842071533203
60139,127.83158874511719
60242,13.97894287109375
60445,3.70526123046875
60563,1.7684173583984375
60664,5.2210540771484375
60846,52.715789794921875
60965,173.55789184570312
61148,180.12632751464844
61267,176.50526428222656
61450,176.3368377685547
61568,180.88421630859375
61670,176.92630004882812
61853,176.3368377685547
61971,180.63156127929688
62155,177.93682861328125
62272,174.5684051513672
62458,180.88421630859375
62576,179.53683471679688
62676,174.98947143554688
62859,178.18946838378906
62977,179.9578857421875
63161,175.32630920410156
63277,109.89474487304688
63462,10.442108154296875
63566,6.0631561279296875
63768,5.4736785888671875
63885,9.600006103515625
64169,164.54736328125
64290,178.69473266601562
64472,179.53683471679688
64589,175.07369995117188
64692,177.7684326171875
64874,180.88421630859375
64994,176.16842651367188
65177,177.17893981933594
65295,181.47369384765625
65478,176.92630004882812
65596,175.83157348632812
65698,179.6210479736328
65881,177.5157928466797
65998,175.41053771972656
66183,179.87368774414062
66303,179.28419494628906
66485,174.14736938476562
66604,158.3157958984375
66787,31.4105224609375
66908,7.4105224609375
67008,6.6526336669921875
67191,6.989471435546875
67312,29.894744873046875
67492,125.97895812988281
67613,178.02105712890625
67794,178.1052703857422
67907,174.73684692382812
67999,180.12632751464844
68201,181.64208984375
68317,176.84210205078125
68500,179.9578857421875
68616,181.8947296142578
