0,0,0,1,
1,0,0,1,
2,0,0,1,
3,0,0,1,
4,0,0,2,
5,0,0,1,
6,0,1,2,
7,0,0,1,
8,0,0,1,
9,0,0,1,
10,0,0,1,
11,23,15,12,
12,31,23,20,
13,31,22,18,
14,31,22,18,
15,31,24,20,
16,31,23,19,
17,31,22,18,
18,31,22,17,
19,31,24,20,
20,31,23,19,
21,31,23,19,
22,31,23,19,
23,31,22,18,
24,31,22,18,
25,31,22,18,
26,31,24,20,
27,31,23,19,
28,31,22,18,
29,31,22,18,
30,31,23,20,
31,31,23,19,
32,31,23,19,
33,31,22,18,
34,31,24,20,
35,31,24,20,
36,31,22,18,
37,31,24,20,
38,31,24,20,
39,31,22,18,
40,31,24,20,
41,31,24,19,
42,31,22,18,
43,31,24,20,
44,31,23,19,
45,31,22,18,
46,31,24,20,
47,31,23,19,
48,31,22,18,
49,31,24,20,
50,31,24,20,
51,31,22,18,
52,31,24,20,
53,31,23,19,
54,31,22,18,
55,31,24,19,
56,31,22,18,
57,31,24,20,
58,32,22,18,
59,32,24,19,
60,32,23,18,
61,32,24,21,
62,32,23,19,
63,32,25,21,
64,32,23,19,
65,33,25,21,
66,33,24,19,
67,34,26,22,
68,34,24,20,
69,34,26,22,
70,35,25,21,
71,36,27,22,
72,36,26,21,
73,37,27,23,
74,38,29,25,
75,38,28,23,
76,39,30,25,
77,40,29,24,
78,41,32,26,
79,42,31,25,
80,43,34,29,
81,44,33,27,
82,45,36,29,
83,47,35,29,
84,48,38,32,
85,49,39,33,
86,50,39,32,
87,52,42,35,
88,53,42,35,
89,54,43,35,
90,56,46,38,
91,58,46,38,
92,60,49,41,
93,62,49,41,
94,64,51,42,
95,65,55,47,
96,67,54,45,
97,69,58,49,
98,72,58,49,
99,74,60,50,
100,76,63,53,
101,78,63,53,
102,81,68,57,
103,83,68,57,
104,86,72,62,
105,89,73,61,
106,92,77,66,
107,94,78,66,
108,97,80,67,
109,99,84,71,
110,101,85,73,
111,105,88,74,
112,108,92,79,
113,111,93,79,
114,115,96,81,
115,118,101,87,
116,121,102,87,
117,123,104,88,
118,127,109,94,
119,130,112,96,
120,135,114,98,
121,139,120,104,
122,142,122,105,
123,145,124,106,
124,149,129,111,
125,152,131,113,
126,156,133,113,
127,162,140,122,
128,164,141,122,
129,170,146,125,
130,174,151,132,
131,177,151,130,
132,181,156,134,
133,186,162,141,
134,192,167,145,
135,196,171,148,
136,201,173,149,
137,205,180,156,
138,208,181,157,
139,213,184,159,
140,217,190,165,
141,223,193,166,
142,228,200,174,
143,233,201,174,
144,238,209,182,
145,243,213,185,
146,248,215,186,
147,253,222,194,
148,259,225,194,
149,264,233,203,
150,269,234,202,
151,275,243,212,
152,281,244,211,
153,288,254,222,
154,292,257,224,
155,298,260,225,
156,303,267,234,
157,309,270,234,
158,315,278,243,
159,321,280,243,
160,327,289,253,
161,333,291,253,
162,339,299,262,
163,346,303,262,
164,353,311,271,
165,359,317,278,
166,364,320,278,
167,371,326,284,
168,377,334,292,
169,384,338,295,
170,390,343,299,
171,398,352,308,
172,403,355,309,
173,410,363,318,
174,416,367,319,
175,424,374,326,
176,431,379,330,
