,1,,,2
165688,242.6947327,,166627,190.9052734
165890,242.8631592,,166828,187.2842102
165989,243.115799,,167028,153.7684174
166190,243.3684235,,167129,37.22105408
166290,243.2841949,,167329,31.91578674
166490,242.2736664,,167429,31.07368469
166591,188.042099,,167630,32.33683777
166791,53.22105408,,167730,122.7789459
166991,49.09474182,,167832,185.4315796
167092,63.41052246,,168032,189.6421051
167292,51.45263672,,168132,189.8947449
167392,43.11579895,,168333,189.0526276
167592,76.63157654,,168634,188.9684143
167693,203.3684387,,168736,188.4631653
167893,234.3579102,,168835,189.2210693
167993,241.0105286,,169035,188.3789368
168194,243.2841949,,169135,188.7157745
168294,243.0315857,,169095,toTop7
168594,241.5999908,,169336,188.3789368
168795,241.0105286,,169436,188.9684143
168904,238.8210602,,169636,189.2210693
169095,toTop7,,169736,188.8000031
169095,239.8315735,,169937,189.2210693
169197,239.4947357,,170037,189.8105316
169404,238.9052582,,170137,189.1368408
169496,240.0842285,,170338,190.6526337
169696,242.6947327,,170438,189.9789429
169796,242.9473572,,170638,187.621048
169998,243.1999969,,170738,169.0947418
170098,243.115799,,170939,45.38948059
170298,243.7052612,,171039,40.16842651
170398,197.8947296,,171239,36.54736328
170599,53.30526733,,171339,40.42105103
170699,52.46316528,,171439,175.7473755
171000,78.82106018,,171640,189.7263031
171200,52.71578979,,171740,188.9684143
171304,128.1684265,,171941,190.3157959
171501,235.5368347,,172041,188.8842163
171601,241.1789398,,172141,190.2315826
171802,242.9473572,,172342,188.5473785
171907,243.5368347,,172442,187.8736877
172105,243.7894897,,172642,188.2947388
172205,242.3578949,,172743,188.4631653
172405,240.4210663,,172910,toTop8
172505,239.4947357,,173043,188.6315765
172706,238.9894714,,173143,188.2947388
172806,238.8210602,,173344,189.0526276
172910,toTop8,,173444,188.5473785
173009,239.5789337,,173644,189.2210693
173108,239.8315735,,173744,190.1473694
173307,239.6631622,,173945,189.9789429
173414,240.8421021,,174045,189.0526276
173608,243.5368347,,174245,190.2315826
173709,243.1999969,,174346,189.7263031
173908,243.8736877,,174446,186.6947327
174017,245.3894806,,174646,171.1157837
174209,241.0947418,,174746,76.54737854
174313,129.0105286,,174947,37.89474487
174511,52.71578979,,175048,37.6421051
174711,71.49473572,,175248,69.6421051
174818,63.91578674,,175348,203.5368347
175011,51.62104797,,175448,189.7263031
175120,83.45263672,,175649,190.9052734
175223,213.6420898,,175749,190.8210602
175412,238.3157959,,175950,190.0631409
175514,243.5368347,,176250,188.9684143
175713,243.2841949,,176351,190.4842072
175914,244.1263275,,176451,189.8947449
176114,243.1999969,,176651,188.1263123
176214,243.8736877,,176752,189.2210693
176414,242.8631592,,176952,188.4631653
176514,242.5263214,,177053,188.1263123
176715,243.9578857,,177253,187.7894745
176915,241.7684326,,177216,toTop9
177016,243.621048,,177386,188.8842163
177216,242.6105194,,177553,188.3789368
177216,toTop9,,177653,188.7157745
177216,242.7789612,,177754,188.4631653
177516,243.0315857,,177954,189.1368408
177617,242.8631592,,178055,189.0526276
177817,241.3473663,,178256,190.8210602
177917,243.2841949,,178356,190.7368317
178118,243.621048,,178557,190.1473694
178218,243.1999969,,178657,189.8947449
178418,245.1368561,,178759,188.1263123
178518,245.4736938,,178958,184.0842133
178719,207.4105377,,179058,64.75790405
178819,59.11579895,,179258,38.82106018
179020,50.18946838,,179358,35.70526123
179120,55.57894897,,179559,48.84210205
179821,234,,179659,182.1473846
179922,25.51579285,,179759,190.9052734
180122,242.8631592,,179959,189.1368408
180222,242.6105194,,180059,189.8947449
180423,242.6947327,,180260,189.7263031
180523,240.5894623,,180364,188.2947388
180724,239.5789337,,180561,187.0315704
180824,238.7368469,,180662,187.7894745
181025,239.5789337,,180863,187.3684082
181225,toTop10,,180963,188.1263123
181325,239.4947357,,181064,187.7894745
181426,240.2526245,,181225,toTop10
181626,240.5894623,,181326,188.1263123
181726,241.4315948,,181364,187.2842102
181927,243.115799,,181571,188.6315765
182027,243.7052612,,181665,189.1368408
182228,245.2210541,,181865,188.8000031
182328,246.3999939,,181965,189.8105316
182528,247.3263092,,182065,190.1473694
182629,242.6105194,,182276,190.0631409
182829,199.8315735,,182367,190.9052734
182930,68.63157654,,182567,191.0736694
183230,144.5894775,,182667,189.8947449
183431,102.1473694,,182868,190.8210602
183531,52.46316528,,182968,185.5157928
183731,106.2736816,,183068,150.5684204
183832,226.0210571,,183272,61.38948059
184032,240.0842285,,183380,37.6421051
184233,242.9473572,,183570,34.18946838
184333,243.7052612,,183677,53.6421051
184533,242.9473572,,183871,182.3157806
184634,239.9157715,,183980,189.7263031
184838,238.7368469,,184072,188.7157745
184942,238.8210602,,184279,190.5684357
185139,239.7473755,,184377,187.53685
185239,238.5684052,,184573,188.8000031
185239,upTop1,,184679,188.2105408
