,nexus7-2013-haida
57814,241.59999084472656
58015,246.82106018066406
58115,248.42105102539062
58319,243.6210479736328
58419,242.69473266601562
58619,242.77896118164062
58719,238.98947143554688
58921,237.22103881835938
59027,228.79998779296875
59221,94.48420715332031
59322,107.53684997558594
59522,230.56842041015625
59622,243.1157989501953
59825,245.3052520751953
59923,249.43157958984375
60124,248.7578887939453
60224,245.13685607910156
60424,245.8947296142578
60525,250.35787963867188
60725,251.20001220703125
60825,247.91578674316406
61026,247.32630920410156
61126,254.23158264160156
61326,253.97894287109375
61427,247.4947509765625
61627,242.8631591796875
61728,250.273681640625
61928,249.178955078125
62029,243.1157989501953
62229,241.26315307617188
62335,246.39999389648438
62530,247.8315887451172
62631,243.87368774414062
62834,241.01052856445312
62931,237.30526733398438
63132,240.58946228027344
63232,177.17893981933594
63433,55.4105224609375
63633,178.5263214111328
63733,242.18946838378906
63935,248.42105102539062
64036,243.03158569335938
64237,243.53683471679688
64354,250.35787963867188
64539,250.86317443847656
64639,245.3052520751953
64849,245.13685607910156
64944,253.97894287109375
65144,258.61053466796875
65246,253.97894287109375
65445,252.63157653808594
65545,256.5894775390625
65749,257.7684020996094
65860,255.83157348632812
66053,253.5579071044922
66154,253.97894287109375
66364,256.92633056640625
66455,255.49473571777344
66656,250.273681640625
66759,250.1052703857422
66957,253.89474487304688
67258,248.50527954101562
67380,246.82106018066406
67566,252.96841430664062
67667,252.63157653808594
67878,247.74737548828125
67972,246.31578063964844
68169,251.7052459716797
68274,252.7157745361328
68470,249.43157958984375
68571,247.8315887451172
68772,248.42105102539062
68892,252.88421630859375
69077,250.273681640625
69177,247.66314697265625
69391,247.32630920410156
69481,251.28421020507812
69680,237.1368408203125
69781,50.694732666015625
69982,11.45263671875
70186,9.6842041015625
70287,9.010528564453125
70487,9.347366333007812
70688,219.0315704345703
70895,247.57894897460938
70991,248.08421325683594
71189,245.81053161621094
71290,246.0631561279297
71490,251.0315704345703
71691,252.7157745361328
71792,246.48422241210938
71993,245.47369384765625
72093,253.5579071044922
72294,255.49473571777344
72404,250.77894592285156
72594,249.5157928466797
72695,252.88421630859375
72903,253.30526733398438
72997,247.57894897460938
73197,244.96841430664062
73297,247.32630920410156
73498,250.18948364257812
73598,248.8421173095703
73798,232.5894775390625
73906,108.0421142578125
74102,11.284210205078125
74207,14.399993896484375
74504,217.6842041015625
74708,247.74737548828125
74812,250.35787963867188
75012,246.23158264160156
75114,244.88421630859375
75316,251.7894744873047
75417,253.30526733398438
75618,247.66314697265625
75718,246.73684692382812
75918,251.7894744873047
76019,253.81053161621094
76220,252.21054077148438
76321,248.42105102539062
76520,246.82106018066406
76621,249.09474182128906
76821,250.18948364257812
76928,242.27366638183594
77122,235.7052764892578
77222,200.9263153076172
77423,14.484207153320312
77624,5.6421051025390625
77724,14.231582641601562
77925,157.97894287109375
78026,243.1157989501953
78126,246.82106018066406
78327,245.13685607910156
78428,246.23158264160156
78628,251.7052459716797
78728,252.7157745361328
78929,245.97894287109375
79130,245.64208984375
79233,251.11578369140625
79433,252.8000030517578
79533,249.09474182128906
79734,246.39999389648438
79835,246.1473846435547
80038,243.53683471679688
80139,239.5789337158203
80341,234.18946838378906
80443,160.3368377685547
80642,11.199996948242188
80746,4.463165283203125
80945,12.210525512695312
81048,55.49473571777344
81249,231.6631622314453
81349,247.91578674316406
81550,248.5894775390625
81652,246.73684692382812
81853,246.56842041015625
81954,254.06314086914062
82155,254.4842071533203
82257,246.65261840820312
82458,246.73684692382812
82559,252.63157653808594
82761,253.89474487304688
82862,248.8421173095703
83063,245.55789184570312
83165,246.0631561279297
83365,242.5263214111328
83466,236.96841430664062
83667,174.82106018066406
83769,17.347366333007812
83971,4.6315765380859375
84072,7.15789794921875
84273,9.178955078125
84374,143.32630920410156
84576,242.77896118164062
84677,250.69473266601562
84978,248.5894775390625
85179,248.3368377685547
85283,253.30526733398438
85480,255.49473571777344
85598,249.09474182128906
85783,250.44210815429688
85883,258.273681640625
86087,258.3578796386719
86193,253.72630310058594
86390,251.11578369140625
86492,254.23158264160156
86692,256.33685302734375
86896,255.83157348632812
86998,251.95790100097656
87199,250.94737243652344
87303,256.75787353515625
87501,257.8526306152344
87626,252.63157653808594
87801,251.11578369140625
87902,258.02105712890625
88128,258.4421081542969
88204,251.87368774414062
88404,250.69473266601562
88508,256.75787353515625
88709,256.4210510253906
88809,253.38946533203125
89013,251.20001220703125
89118,254.5684356689453
89316,256.2526550292969
89418,255.57896423339844
89642,251.6210479736328
89724,253.5579071044922
89919,255.4105224609375
90020,224.2526397705078
90222,131.1999969482422
90326,244.04209899902344
90525,248.9263153076172
90630,248.25262451171875
90828,242.5263214111328
90929,240.16842651367188
91130,246.23158264160156
91252,251.7894744873047
91430,247.2421112060547
91531,250.1052703857422
91732,256.75787353515625
91836,258.273681640625
92037,253.81053161621094
92139,250.94737243652344
92340,256.5052490234375
92440,257.0947265625
92641,252.04209899902344
92741,250.77894592285156
92941,254.9052734375
93042,256.0
93247,252.63157653808594
93347,250.6105194091797
93547,252.21054077148438
93647,254.5684356689453
93848,253.72630310058594
93955,232.5894775390625
94153,123.53684997558594
94253,233.34738159179688
94454,248.42105102539062
94655,243.36842346191406
94755,241.09474182128906
94956,245.13685607910156
95056,250.35787963867188
95257,246.23158264160156
95358,247.91578674316406
95558,255.83157348632812
95659,258.02105712890625
95859,252.12631225585938
95959,249.34735107421875
96160,255.7473602294922
96260,255.32630920410156
96461,250.273681640625
96561,248.3368377685547
96761,251.368408203125
96862,254.23158264160156
97064,250.0210418701172
97165,248.67367553710938
97366,250.86317443847656
97467,251.0315704345703
97668,156.12631225585938
97769,198.56842041015625
97971,243.9578857421875
98074,247.57894897460938
98274,245.3052520751953
98377,239.74737548828125
98576,239.915771484375
98678,248.42105102539062
98878,250.86317443847656
98981,247.8315887451172
99181,248.08421325683594
99283,255.91580200195312
99484,256.5894775390625
99585,250.18948364257812
99785,246.65261840820312
99888,252.7157745361328
100088,253.5579071044922
100190,248.3368377685547
100389,246.48422241210938
100490,252.12631225585938
100691,254.23158264160156
100795,250.77894592285156
100992,184.08421325683594
101093,169.3473663330078
101293,246.39999389648438
101399,242.5263214111328
101594,237.8947296142578
101695,236.96841430664062
101895,248.50527954101562
102096,250.69473266601562
102196,247.32630920410156
102397,246.90525817871094
102498,254.9052734375
102698,257.0947265625
102798,251.7052459716797
102999,249.5157928466797
103101,253.64210510253906
103300,254.82106018066406
103400,250.94737243652344
103601,249.26315307617188
103706,249.9368438720703
103905,253.5579071044922
104005,184.3368377685547
104207,140.2105255126953
104307,238.73684692382812
104508,240.67369079589844
104614,248.16842651367188
104809,242.5263214111328
104914,241.3473663330078
105114,247.99998474121094
105216,253.5579071044922
105417,253.64210510253906
105519,251.7894744873047
105719,255.4105224609375
105821,257.6842041015625
106023,255.91580200195312
106124,252.7157745361328
106324,251.6210479736328
106425,256.5052490234375
106626,257.7684020996094
106729,251.11578369140625
106929,250.77894592285156
107033,256.5052490234375
107231,258.4421081542969
107338,252.63157653808594
107534,250.94737243652344
107634,255.32630920410156
107835,257.0105285644531
107939,253.2210693359375
108139,251.6210479736328
108252,253.97894287109375
108444,256.6736755371094
108552,255.57896423339844
108746,251.53684997558594
108861,250.94737243652344
109047,256.33685302734375
109147,256.92633056640625
109358,251.28421020507812
109452,250.273681640625
109653,256.5052490234375
109862,257.7684020996094
109957,249.178955078125
110158,118.73684692382812
110258,192.5894775390625
110458,247.4105224609375
110558,246.56842041015625
110759,242.94735717773438
110877,243.87368774414062
111064,249.09474182128906
111164,253.4736785888672
111377,249.01051330566406
111467,248.67367553710938
111667,257.0105285644531
111767,257.0947265625
111968,251.53684997558594
112075,250.18948364257812
112274,254.14736938476562
112374,254.73683166503906
112574,251.87368774414062
112674,250.44210815429688
112878,250.6105194091797
112982,254.82106018066406
113180,253.81053161621094
113281,247.32630920410156
113481,210.77896118164062
113581,95.83158874511719
113786,240.75790405273438
113898,235.95790100097656
114089,237.72633361816406
114189,245.05262756347656
114400,246.23158264160156
114492,245.55789184570312
114793,250.5263214111328
114997,256.4210510253906
115099,256.92633056640625
115300,251.45263671875
115416,250.18948364257812
115604,256.1684265136719
115710,256.33685302734375
115907,252.12631225585938
116007,250.1052703857422
116213,254.4842071533203
116309,255.32630920410156
116509,253.81053161621094
116609,250.273681640625
116810,250.5263214111328
116914,253.72630310058594
117111,253.64210510253906
117212,227.45262145996094
117422,78.56842041015625
117612,219.6210479736328
117713,243.1157989501953
117917,236.0421142578125
118014,241.5157928466797
118215,245.8947296142578
118315,249.26315307617188
118516,249.09474182128906
118616,250.18948364257812
118817,251.95790100097656
118930,256.75787353515625
119119,257.0105285644531
119219,252.12631225585938
119425,251.11578369140625
119522,256.4210510253906
119722,256.33685302734375
119823,250.77894592285156
120024,249.5157928466797
120126,253.30526733398438
120327,255.91580200195312
120442,253.30526733398438
120628,250.5263214111328
120732,249.9368438720703
120940,253.97894287109375
121034,253.89474487304688
121235,205.4736785888672
121336,114.52632141113281
121537,243.87368774414062
121638,243.45263671875
121839,244.12632751464844
121948,242.44210815429688
122141,245.22105407714844
122241,249.26315307617188
122446,251.95790100097656
122542,251.20001220703125
122742,251.11578369140625
122848,257.9368591308594
123047,258.1894836425781
123147,250.69473266601562
123352,249.178955078125
123467,254.82106018066406
123654,256.2526550292969
123754,252.04209899902344
123965,250.6105194091797
124059,253.2210693359375
124260,255.6631622314453
124363,255.32630920410156
124563,251.20001220703125
124663,248.5894775390625
124865,240.50526428222656
124982,98.44210815429688
125166,228.88421630859375
125367,234.35791015625
125475,246.1473846435547
125667,248.3368377685547
125768,245.13685607910156
125973,243.87368774414062
126077,251.11578369140625
126278,256.33685302734375
126378,254.4842071533203
126579,251.95790100097656
126680,250.86317443847656
126881,256.84210205078125
126984,258.9473876953125
127184,252.8000030517578
127284,251.0315704345703
127484,256.5052490234375
127585,257.0947265625
127785,253.81053161621094
127885,252.12631225585938
128085,253.72630310058594
128186,256.84210205078125
128386,255.83157348632812
128486,251.53684997558594
128687,251.11578369140625
128787,257.178955078125
128987,257.6842041015625
129087,251.95790100097656
129288,250.94737243652344
129388,255.6631622314453
129588,257.178955078125
129688,256.5894775390625
129889,251.53684997558594
129989,250.77894592285156
130189,257.2631530761719
130290,257.6842041015625
130490,252.8000030517578
130590,252.63157653808594
130891,246.82106018066406
131091,242.27366638183594
131191,235.95790100097656
131392,236.0421142578125
131492,246.48422241210938
131692,94.82106018066406
131793,214.0631561279297
131993,250.86317443847656
132093,256.4210510253906
132293,256.33685302734375
132394,255.91580200195312
132594,252.63157653808594
132694,251.87368774414062
132895,256.4210510253906
133096,258.1894836425781
133198,253.05262756347656
133396,251.7052459716797
133497,256.33685302734375
133697,257.0105285644531
133797,254.82106018066406
133997,251.87368774414062
134098,253.2210693359375
134298,257.0947265625
134398,256.4210510253906
134599,248.08421325683594
134700,242.35789489746094
134899,239.74737548828125
134999,224.84210205078125
135200,62.48420715332031
135300,231.4105224609375
135500,255.4105224609375
135624,257.0105285644531
135801,254.5684356689453
135901,252.63157653808594
136101,254.4842071533203
136211,255.4105224609375
136402,255.49473571777344
136511,251.28421020507812
136702,251.53684997558594
136818,256.75787353515625
137003,258.02105712890625
137116,252.04209899902344
137303,250.1052703857422
137418,256.5894775390625
137604,254.23158264160156
137704,239.83157348632812
137904,237.3894805908203
138029,239.83157348632812
138205,241.26315307617188
138405,238.6526336669922
138606,234.273681640625
138706,159.15789794921875
138907,113.26316833496094
139007,248.67367553710938
139207,252.21054077148438
139307,250.77894592285156
139508,256.33685302734375
139608,257.6842041015625
139808,253.4736785888672
139908,229.81051635742188
140109,238.6526336669922
140209,256.1684265136719
140409,250.69473266601562
140610,252.21054077148438
140710,251.368408203125
140910,256.84210205078125
141010,259.2842102050781
141211,250.18948364257812
141311,248.16842651367188
141511,251.53684997558594
141611,252.21054077148438
141812,246.73684692382812
141912,240.50526428222656
142112,238.06317138671875
142213,242.69473266601562
142413,192.84210205078125
142513,121.34736633300781
142713,245.97894287109375
142814,259.2842102050781
143014,257.7684020996094
143114,252.63157653808594
143314,252.21054077148438
143415,256.5052490234375
143615,258.9473876953125
143715,253.4736785888672
143916,251.28421020507812
144016,256.5052490234375
144216,258.4421081542969
144316,253.05262756347656
144517,245.13685607910156
144617,240.3368377685547
144817,241.3473663330078
144918,238.2315673828125
145118,236.63157653808594
145218,238.98947143554688
145418,191.6631622314453
145519,112.84210205078125
145719,249.43157958984375
145819,249.9368438720703
146020,257.6842041015625
146120,258.3578796386719
146320,252.12631225585938
146420,250.273681640625
146621,256.33685302734375
146721,258.02105712890625
146921,253.97894287109375
147022,251.0315704345703
147222,253.5579071044922
147322,258.1894836425781
147523,256.5894775390625
147623,252.7157745361328
147823,250.77894592285156
147923,256.5894775390625
148124,258.1894836425781
148224,251.6210479736328
148424,249.34735107421875
148625,254.3157958984375
148725,255.2421112060547
148925,250.273681640625
149025,248.16842651367188
149226,251.87368774414062
149326,253.64210510253906
149526,248.7578887939453
149626,246.39999389648438
149827,231.91578674316406
149927,129.17893981933594
150128,23.915786743164062
150228,12.88421630859375
150428,62.82106018066406
150528,237.05264282226562
151133,249.0
151233,26.694732666015625
151434,254.4842071533203
151534,250.0210418701172
151734,249.9368438720703
151835,254.5684356689453
152035,253.89474487304688
152135,248.67367553710938
152336,246.82106018066406
152436,253.72630310058594
152636,253.64210510253906
152736,248.9263153076172
152937,245.726318359375
153037,232.5052490234375
153237,111.07368469238281
153338,18.778945922851562
153538,12.631576538085938
153739,59.95790100097656
153839,232.42105102539062
153939,251.28421020507812
154143,246.0631561279297
154244,247.91578674316406
154444,253.72630310058594
154644,255.49473571777344
154745,250.6105194091797
154945,248.3368377685547
155045,249.9368438720703
155246,252.7157745361328
155346,250.44210815429688
155546,248.8421173095703
155646,247.66314697265625
155847,253.5579071044922
155947,252.63157653808594
156148,244.63156127929688
156248,195.95790100097656
156448,33.852630615234375
156548,11.199996948242188
156749,10.357894897460938
156860,16.757888793945312
157049,160.7578887939453
157149,250.1052703857422
157350,247.57894897460938
157450,248.67367553710938
157651,250.1052703857422
157751,253.30526733398438
157951,254.14736938476562
158052,248.67367553710938
158252,246.0631561279297
158352,251.368408203125
158553,252.7157745361328
158653,246.65261840820312
158854,245.55789184570312
158954,251.11578369140625
159154,252.04209899902344
159255,222.14736938476562
159455,52.96842956542969
159555,12.800003051757812
159756,20.29473876953125
159856,88.08421325683594
160057,221.1368408203125
160157,248.25262451171875
160357,254.5684356689453
160458,255.83157348632812
160658,251.6210479736328
160758,251.20001220703125
160958,255.32630920410156
161059,256.0
161259,250.6105194091797
161359,249.26315307617188
161560,254.23158264160156
161660,256.5052490234375
161860,249.43157958984375
162061,248.3368377685547
162161,254.73683166503906
162361,255.7473602294922
162462,247.57894897460938
162663,245.726318359375
162763,160.7578887939453
162964,19.284210205078125
163064,8.168426513671875
163264,28.631576538085938
163365,145.43157958984375
163565,243.36842346191406
163665,248.3368377685547
163866,249.9368438720703
163977,249.60000610351562
164168,253.1368408203125
164268,251.28421020507812
164468,247.57894897460938
164568,247.74737548828125

