nullCDBA,CDBA,18097181411905919566
DCBA,DCBA,22357232232387324580
DCAB,DCAB,27487285332879229496
ABCD,ABCD,32702333083394834227
CBDA,CBDA,36966374223782938520
BCDA,BCDA,46453471974755648450
CBAD,CBAD,52222528695336453714
CABD,CABD,57240577765828258428
BDCA,BDCA,61391616526285663293
BDAC,BDAC,66709667966790668471
CADB,CADB,70979716197193472731
DBCA,DBCA,76265771437794278536
DABC,DABC,81293824468295683822
ADBC,ADBC,86257866478767088431
BACD,BACD,91079917729264292974
DBAC,DBAC,95493966959748998358
ACBD,ACBD,102001102969103718103869
BADC,BADC,108142108821109490110085
ADCB,ADCB,113937114525115507116060
ABDC,ABDC,119553120669121092122428
ACDB,ACDB,125476126250127022127793
BCAD,DBCA,130427131301132372133198
CDAB,DCAB,136956137091138009138620
DACB,DACB,141166142423143007143835

