DABC,DABC
BADC,BADC
DBAC,DBAC
ABCD,ABCD
CADB,CADB
DACB,DACB
CBDA,CBDA
BACD,BACD
CDBA,CDBA
ADBC,CADB
BDCA,BDCA
DCAB,DCBA
ABDC,ABDC
CBAD,DCBA
BCAD,BCAD
ACDB,ACDB
BDAC,BDAC
ADCB,ADCB
DBCA,DBCA
BCDA,BCDA
ACBD,ABCD
CDAB,CDAB
DCBA,DCBA
CABD,CABD

